claim_id,claim,status,repository,branch,file_or_dataset,location,evidence,confidence,reproduction_command,artifact
G-F-001,"GAIA run table has a stable 17,152-row raw event inventory and 16,200 supported time-bounded injection events.",REVALIDATED FACT,/home/zhangll24/RCA_project/Ada-MGAD-e2e,e2e,/home/zhangll24/RCA_project/datasets/GAIA/MicroSS/run/run/run/run_table_2021-07.csv,event_revalidation.raw_record_count,"{""exclusions"":952,""raw_record_count"":17152,""supported"":16200}",HIGH,python scripts/p5/revalidate_gaia_events.py --gaia-root /home/zhangll24/RCA_project/datasets/GAIA/MicroSS --output-dir artifacts/p5/g0r2,artifacts/p5/g0r2/event_revalidation.json; sha256=e56927971e9f8cdaca904a861174396c062f3ac5b1404a24c790ce62e197790d
G-F-002,"Login failures dominate the supported fault taxonomy (15,478/16,200; 95.5432%).",REVALIDATED FACT,/home/zhangll24/RCA_project/Ada-MGAD-e2e,e2e,/home/zhangll24/RCA_project/datasets/GAIA/MicroSS/run/run/run/run_table_2021-07.csv,event_revalidation.fault_distribution.login failure,"{""count"":15478,""percentage"":95.54320987654322}",HIGH,same as G-F-001,artifacts/p5/g0r2/event_revalidation.json; sha256=e56927971e9f8cdaca904a861174396c062f3ac5b1404a24c790ce62e197790d
G-F-003,"mobservice1 and mobservice2 dominate labelled injected services (7,815 and 7,799).",REVALIDATED FACT,/home/zhangll24/RCA_project/Ada-MGAD-e2e,e2e,/home/zhangll24/RCA_project/datasets/GAIA/MicroSS/run/run/run/run_table_2021-07.csv,event_revalidation.root_distribution,"{""mobservice1"":{""count"":7815,""percentage"":48.24074074074074},""mobservice2"":{""count"":7799,""percentage"":48.141975308641975}}",HIGH,same as G-F-001,artifacts/p5/g0r2/event_revalidation.json; sha256=e56927971e9f8cdaca904a861174396c062f3ac5b1404a24c790ce62e197790d
G-F-004,"Raw injection intervals overlap: 4,037 cases, 3,429 pairs, 13,077 connected components; interval semantics are half-open.",REVALIDATED FACT,/home/zhangll24/RCA_project/Ada-MGAD-e2e,e2e,/home/zhangll24/RCA_project/datasets/GAIA/MicroSS/run/run/run/run_table_2021-07.csv,event_revalidation.raw_interval_overlap,"{""case_categories"":{""different_root_overlap"":3470,""isolated"":12163,""same_root_only_overlap"":567},""component_size_distribution"":{""1"":12163,""10"":7,""11"":3,""12"":5,""13"":3,""14"":1,""15"":3,""16"":3,""18"":1,""2"":372,""21"":1,""22"":3,""23"":2,""24"":1,""25"":1,""26"":1,""29"":1,""3"":111,""30"":2,""35"":1,""37"":1,""39"":1,""4"":98,""5"":96,""6"":89,""7"":54,""8"":36,""9"":17},""connected_components"":13077,""different_root_overlap_pairs"":2958,""interval_semantics"":""half-open [start_ms, end_ms); boundary touching is not overlap"",""maximum_component_size"":39,""maximum_overlap_degree"":38,""overlap_cases"":4037,""overlap_pairs"":3429,""same_root_overlap_pairs"":471}",HIGH,python scripts/p5/revalidate_gaia_events.py --gaia-root /home/zhangll24/RCA_project/datasets/GAIA/MicroSS --output-dir artifacts/p5/g0r2,artifacts/p5/g0r2/event_revalidation.json; sha256=e56927971e9f8cdaca904a861174396c062f3ac5b1404a24c790ce62e197790d
G-F-005,"AD node labels and historical RCA labels share the parsed run-table service by construction; this is annotation coupling, not independent causal proof.",REVALIDATED FACT,/home/zhangll24/RCA_project/Ada-MGAD-e2e,e2e,run-table + Ada-MGAD parser + historical adapter,label_reconciliation.ad_label_definition / rca_label_definition,"{""all_injections"":0.9992592592592593,""preferred_term"":""labelled injected service or labelled fault service"",""service_match_mappable"":1.0}",HIGH,python scripts/p5/audit_label_reconciliation.py --gaia-root /home/zhangll24/RCA_project/datasets/GAIA/MicroSS --output-dir artifacts/p5/g0r2,artifacts/p5/g0r2/label_reconciliation.json; sha256=ff60468adc07290cd9474273e4228a4621fb503b6f42660196ddb6865439cb76
G-F-006,Current Ada-MGAD main parser has a reproducible float-duration CPU defect: all 12 CPU rows fail the integer-only duration match.,REVALIDATED PARSER DEFECT,/home/zhangll24/RCA_project/Ada-MGAD-e2e,e2e,/home/zhangll24/RCA_project/datasets/GAIA/MicroSS/run/run/run/run_table_2021-07.csv,event_revalidation.cpu_parser_audit,"{""audit_float_repair_success"":12,""cpu_event_count"":12,""current_main_parse_failure"":12,""current_main_parse_success"":0,""duration_examples_seconds"":[2.8919918537139893,2.9050204753875732,2.915334701538086,2.937929630279541,2.9688236713409424,2.9959075450897217,3.0034542083740234,3.0210864543914795,3.0509350299835205,3.051996946334839,3.0525479316711426,3.2413992881774902],""status"":""REVALIDATED PARSER DEFECT""}",HIGH,same as G-F-001,artifacts/p5/g0r2/event_revalidation.json; sha256=e56927971e9f8cdaca904a861174396c062f3ac5b1404a24c790ce62e197790d
G-F-007,"normal memory freed label is a recovery-marker candidate, not a frozen independent anomaly event.",OPEN QUESTION,/home/zhangll24/RCA_project/Ada-MGAD-e2e,e2e,/home/zhangll24/RCA_project/datasets/GAIA/MicroSS/run/run/run/run_table_2021-07.csv,event_revalidation.recovery_marker_audit,"{""interpretation"":""recovery evidence not independently established"",""rows"":17}",MEDIUM,same as G-F-001,artifacts/p5/g0r2/event_revalidation.json; sha256=e56927971e9f8cdaca904a861174396c062f3ac5b1404a24c790ce62e197790d
G-F-008,"ERROR records enter the current aligned AD mapping as 38 zero-duration entries, but official anomaly-injection semantics are not established.",REVALIDATED FACT / OPEN SEMANTICS,/home/zhangll24/RCA_project/Ada-MGAD-e2e,e2e,/home/zhangll24/RCA_project/datasets/GAIA/MicroSS/run/run/run/run_table_2021-07.csv,event_revalidation.error_record_audit,"{""current_main_zero_duration_intervals"":38,""error_rows"":38,""official_injection_status"":""not established"",""would_enter_deal_label_filter"":38}",HIGH mapping; MEDIUM semantics,same as G-F-001,artifacts/p5/g0r2/event_revalidation.json; sha256=e56927971e9f8cdaca904a861174396c062f3ac5b1404a24c790ce62e197790d
G-F-009,GAIA metric positive-delta median is 30s and P95 is 60s; logs use millisecond message-prefix timestamps; trace start/end carry microseconds.,REVALIDATED FACT,/home/zhangll24/RCA_project/Ada-MGAD-e2e,e2e,/home/zhangll24/RCA_project/datasets/GAIA/MicroSS/run/run/run/run_table_2021-07.csv,raw_telemetry_timing.metrics/logs/traces,"{""log_resolution"":""millisecond message prefix YYYY-MM-DD HH:MM:SS,mmm"",""metric_median_ms"":30000.0,""metric_p95_ms"":60000.0,""trace_resolution"":""timestamp is second-resolution display time; start_time/end_time carry microseconds""}",HIGH,python scripts/p5/audit_raw_telemetry.py --gaia-root /home/zhangll24/RCA_project/datasets/GAIA/MicroSS --historical-telemetry /home/zhangll24/RCA_project/Ada-MGAD-rca-standalone/artifacts/p1/telemetry_diagnostics.json --scan-traces --output artifacts/p5/g0r2/raw_telemetry_timing.json,artifacts/p5/g0r2/raw_telemetry_timing.json; sha256=ab8d4156e070077e2f292b8f7567206d46473e4a2ea59fded0f1b1b2ebc49e6c
G-F-010,Official trace semantics are status != 200; status >= 500 is not equivalent because 3xx/4xx codes occur.,REVALIDATED FACT,/home/zhangll24/RCA_project/Ada-MGAD-e2e,e2e,/home/zhangll24/RCA_project/datasets/GAIA/MicroSS/run/run/run/run_table_2021-07.csv,raw_telemetry_timing.traces.targeted_full_status_and_duration_scan,"{""ge_500"":1156668,""official_not_200"":4228408,""rules_equivalent"":false,""status_code_distribution"":{""200"":24453030,""300"":3040760,""400"":30980,""500"":1156668}}",HIGH,same as G-F-009,artifacts/p5/g0r2/raw_telemetry_timing.json; sha256=ab8d4156e070077e2f292b8f7567206d46473e4a2ea59fded0f1b1b2ebc49e6c
